,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
160,Big Panda and Tiny Dragon,James Norbury,16,9,2021,Hardback,21.39,21.39
161,A Cook's Book,Nigel Slater,14,10,2021,Hardback,40.22,41.21
162,The Twins of Auschwitz,Eva Mozes Kor,24,9,2020,Paperback,14.3,14.3
163,Our Dreams at Dusk: Shimanami Tasogare Vol. 2,Yuhki Kamatani,23,7,2019,Paperback,13.41,13.41
164,No One Is Talking About This,Patricia Lockwood,16,2,2021,Hardback,20.1,20.59
165,How To Do The Work,Nicole Lepera,11,3,2021,Paperback,27.19,27.19
166,Look Inside Your Body,Louie Stowell,8,1,2021,Board book,20.52,20.52
167,Great Circle,Maggie Shipstead,4,5,2021,Hardback,24.16,24.16
168,The Legacy,Elle Kennedy,21,9,2021,Paperback,14.83,14.83
169,Matilda,Roald Dahl,16,8,2007,Paperback,8.35,8.35
170,Crooked Kingdom (Six of Crows Book 2),Leigh Bardugo,21,6,2017,Paperback,21.76,21.76
171,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,27,5,2021,Paperback,14.51,14.51
172,"Peaceful Parent, Happy Kids",Laura Markham,28,11,2012,Paperback,14.92,17.0
173,The Wonderful Things You Will Be,Emily Winfield Martin,22,9,2015,Hardback,18.88,18.88
174,Everything I Never Told You,Celeste Ng,13,11,2014,Paperback,10.08,12.35
175,Everything I Know About Love,Dolly Alderton,7,2,2019,Paperback,14.69,14.69
176,"Given, Vol. 6",Natsuki Kizu,14,10,2021,Paperback,11.63,12.99
177,The Little Book of Joy,Joanne Ruelos Diaz,2,9,2021,Hardback,21.19,21.19
178,Berserk Deluxe Volume 4,Kentaro Miura,12,3,2020,Hardback,55.78,55.78
179,Natural Magick,Lindsay Squire,21,9,2021,Paperback,17.38,19.99
180,Natural Magick,Lindsay Squire,21,9,2021,Paperback,17.38,19.99
181,Goodnight Moon,Margaret Wise Brown,24,6,2011,Board book,9.45,9.45
182,The Stranger,Albert Camus,9,8,2016,Paperback,11.61,13.95
183,Kingdom of the Cursed,Kerri Maniscalco,5,10,2021,Hardback,17.25,18.99
184,Braiding Sweetgrass,Robin Wall Kimmerer,23,4,2020,Paperback,15.43,15.43
185,My Policeman,Bethan Roberts,1,4,2014,Paperback,12.1,18.95
186,Belonging,Catherine Corless,16,9,2021,Paperback,19.42,21.97
187,Ariadne,Jennifer Saint,29,4,2021,Hardback,26.8,26.8
188,Iced,Felix Francis,16,9,2021,Hardback,27.54,27.54
189,"Brown Bear, Brown Bear, What Do You See?",Eric Carle,2,1,1997,Board book,10.15,11.06
190,Never Split the Difference,Chris Voss,29,6,2018,Paperback,9.21,9.21
191,Invisible Women,Caroline Criado Perez,5,3,2020,Paperback,13.56,13.72
192,Entangled Life,Merlin Sheldrake,2,9,2021,Paperback,14.96,15.1
193,A Radical Awakening,Dr Shefali Tsabary,18,5,2021,Paperback,25.03,25.03
194,Some Things I Still Can't Tell You,Misha Collins,25,11,2021,Paperback,13.42,14.99
196,Uzumaki (3-in-1 Deluxe Edition),Junji Ito,21,11,2013,Hardback,33.74,33.74
