,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
985,The Assassin's Blade,Sarah J. Maas,13,3,2015,Paperback,13.67,13.67
986,Zog and the Flying Doctors,Julia Donaldson,7,9,2017,Paperback,15.74,15.74
987,Where's Wally?,Martin Handford,26,7,2011,Paperback,9.46,9.46
988,Guess How Much I Love You,Sam McBratney,19,12,2014,Board book,10.52,10.52
989,Limitless,Jim Kwik,7,4,2020,Hardback,24.15,26.99
990,Cracking the Coding Interview,Gayle Laakmann McDowell,1,7,2015,Paperback,49.0,49.0
991,The Heart of Yoga,T.K.V. Desikachar,9,11,1999,Paperback,16.37,19.95
992,AI 2041,Kai-Fu Lee,16,9,2021,Paperback,21.86,21.86
993,See Inside How Things Work,Conrad Mason,2,10,2009,Board book,18.46,18.46
994,Hokusai: The Great Picture Book of Everything,Timothy Clark,30,9,2021,Hardback,33.56,37.5
995,We're Going on a Bear Hunt,Michael Rosen,1,10,1997,Board book,8.98,8.98
996,The House on Mango Street,Sandra Cisneros,3,4,1991,Paperback,10.43,11.95
997,The Final Empire,Brandon Sanderson,1,12,2009,Paperback,18.07,18.07
998,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,15,6,2017,Paperback,15.05,16.99
999,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,31,8,2017,Paperback,16.35,18.99
1000,The Drama of the Gifted Child,Alice Miller,22,7,2008,Paperback,14.64,15.99
1001,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,26,11,2009,Paperback,5.04,5.04
1002,"Bob Books - Set 1: Beginning Readers Box Set Phonics, Ages 4 and Up, Kindergarten (Stage 1: Starting to Read)",John R Maslen,1,5,2006,Paperback,17.72,17.99
1003,Man and His Symbols,C. G. Jung,1,6,1997,Paperback,9.31,9.31
1004,"Peaceful Parent, Happy Siblings",Dr. Laura Markham,5,5,2015,Paperback,15.57,17.0
1005,The Red Book,C. G. Jung,1,10,2018,Hardback,38.08,39.95
1006,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,4,2,2021,Paperback,15.47,15.47
1007,The Forty Rules of Love,Elif Shafak,2,4,2015,Paperback,12.19,12.35
1008,Peppa Pig: The Official Annual 2022,Peppa Pig,2,9,2021,Hardback,14.08,14.08
1009,Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,27,9,2017,Paperback,45.84,45.84
1010,"Elements of Style, The","William Strunk, Jr.",31,8,1999,Paperback,8.81,9.99
1011,The Qur'an,,29,8,2008,Paperback,11.22,12.95
1012,English Pastoral,James Rebanks,2,9,2021,Paperback,12.89,13.72
1013,All the Bright Places,Jennifer Niven,8,1,2015,Paperback,11.59,11.59
1014,Murder Most Unladylike,Robin Stevens,17,3,2016,Paperback,11.1,11.1
1015,Outliers,Malcolm Gladwell,4,6,2009,Paperback,10.2,10.2
1016,The Brain That Changes Itself,Norman Doidge,7,8,2008,Paperback,17.95,17.95
1017,The Old Man and the Sea,Ernest Hemingway,18,8,1994,Paperback,14.89,14.89
1018,Cultish,Amanda Montell,22,7,2021,Hardback,25.79,27.99
1019,The Hard Thing About Hard Things,Ben Horowitz,24,4,2014,Hardback,24.6,29.99
