,title,author,publication_date,format,current_price,original_price
81,The Alchemist,Paulo Coelho,01 Jun 2020,Paperback,US$8.92,US$8.99
82,Bewilderment,Richard Powers,21 Sep 2021,Hardback,US$24.05,US$26.09
83,The Fortune Men,Nadifa Mohamed,27 May 2021,Hardback,US$21.47,US$21.47
84,If We Were Villains,M. L. Rio,13 Jun 2017,Paperback,US$14.27,US$14.27
85,Crooked Kingdom Collector's Edition,Leigh Bardugo,05 Sep 2019,Hardback,US$21.59,US$23.34
86,"Solo Leveling, Vol. 2",Chugong,20 Jul 2021,Paperback,,
87,Have You Filled A Bucket Today?,Carol McCloud,01 Oct 2015,Paperback,US$9.77,US$9.95
88,Meine Reise durch Europa,Rita Berman,30 Sep 2021,Paperback,US$10.34,US$10.34
89,This is Going to Hurt,Adam Kay,19 Apr 2018,Paperback,US$12.84,US$12.84
90,Crooked Kingdom Collector's Edition,Leigh Bardugo,05 Sep 2019,Hardback,US$21.59,US$23.34
91,Have You Filled A Bucket Today?,Carol McCloud,01 Oct 2015,Paperback,US$9.77,US$9.95
92,Meine Reise durch Europa,Rita Berman,30 Sep 2021,Paperback,US$10.34,US$10.34
93,This is Going to Hurt,Adam Kay,19 Apr 2018,Paperback,US$12.84,US$12.84
94,November 9,Colleen Hoover,10 Nov 2015,Paperback,US$15.38,US$16.99
