,title,author,publication_date,format,current_price,original_price
670,Iced,Felix Francis,16 Sep 2021,Paperback,US$32.98,US$32.98
671,"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 3",Hirohiko Araki,27 Aug 2015,Hardback,US$21.21,US$21.21
672,"Hunter x Hunter, Vol. 6",Yoshihiro Togashi,22 Sep 2016,Paperback,US$10.31,US$10.31
673,"Hunter x Hunter, Vol. 20",Yoshihiro Togashi,22 Sep 2016,Paperback,US$10.31,US$10.31
674,In My Heart,Jo Witek,14 Oct 2014,Hardback,US$18.01,US$18.01
675,Magpie Murders,Anthony Horowitz,21 Nov 2017,Paperback,US$12.15,US$12.35
676,Tabby McTat,Julia Donaldson,01 Dec 2020,Paperback,US$13.66,US$13.66
677,Dead Poets Society,N.H. Kleinbaum,07 Dec 2006,Paperback,US$8.25,US$8.25
678,Skin in the Game,Jane Wurwand,10 Dec 2021,Hardback,US$25.05,US$27.99
679,The Shadows Between Us,Tricia Levenseller,25 Feb 2020,Hardback,US$19.21,US$19.21
680,Rider-Waite Tarot Deck,,01 Mar 2003,Cards,US$20.39,US$21.95
681,Great Circle,Maggie Shipstead,04 May 2021,Paperback,US$24.00,US$24.00
682,Peek-A Who?,Nina Laden,15 Sep 2005,Hardback,US$7.17,US$7.17
683,The Nickel Boys,Colson Whitehead,30 Jun 2020,Paperback,US$12.31,US$12.35
684,The Bell Jar,Sylvia Plath,02 Jun 2005,Paperback,US$13.36,US$13.36
685,China Coup,Roger Garside,01 Jun 2021,Hardback,US$24.31,US$24.31
686,The Richest Man In Babylon,George S Clason,31 Oct 2018,Paperback,US$8.93,US$9.99
687,Persepolis,Marjane Satrapi,01 Jun 2004,Paperback,US$14.64,US$16.00
688,Mating in Captivity,Esther Perel,20 Sep 2007,Paperback,US$16.55,US$16.55
689,"Women, Race & Class",Angela Y. Davis,03 Oct 2019,Paperback,US$16.90,US$16.90
690,Pedagogy of the Oppressed,Paulo Freire,06 Apr 2017,Paperback,US$13.47,US$13.72
691,Philosophical Devices,David Papineau,25 Nov 2012,Paperback,US$23.68,US$23.68
692,The Witches,Roald Dahl,16 Aug 2007,Paperback,US$8.08,US$8.08
693,Pride and Prejudice,Jane Austen,06 Dec 2012,Paperback,US$10.49,US$10.49
694,Frankenstein,Mary Shelley,01 May 2012,Paperback,US$9.72,US$9.72
695,Letters from a Stoic,Seneca,23 Aug 2017,Paperback,US$15.47,US$17.00
696,"Guns, Germs and Steel",Jared Diamond,26 Apr 2000,Paperback,US$16.62,US$22.00
697,Who Moved My Cheese,Spencer Johnson,31 Oct 2018,Paperback,US$8.68,US$13.25
698,Serpent & Dove,Shelby Mahurin,03 Sep 2020,Paperback,US$12.44,US$12.99
699,Rejected Princesses,Jason Porath,01 Dec 2016,Hardback,US$29.40,US$29.40
700,The Virgin Suicides,Jeffrey Eugenides,13 May 2021,Paperback,US$15.57,US$15.57
701,Fahrenheit 451,Ray Bradbury,16 Mar 2018,Paperback,US$14.63,US$17.75
702,How to Catch a Star,Oliver Jeffers,03 May 2005,Paperback,US$10.68,US$12.50
703,Plants for Your Food Forest,Plants for a Future,15 Jun 2021,Paperback,US$27.35,US$27.35
704,Caraval,Stephanie Garber,28 Sep 2021,Paperback,US$16.59,US$17.95
705,Chainsaw Man 1,Tatsuki Fujimoto,01 Oct 2020,Paperback,US$9.22,US$9.22
706,"Yotsuba&!, Vol. 15",Kiyohiko Azuma,28 Sep 2021,Paperback,US$13.79,US$13.79
707,"Haikyu!!, Vol. 45",Haruichi Furudate,25 Nov 2021,Paperback,US$8.92,US$9.99
708,"BEASTARS, Vol. 14",Paru Itagaki,14 Oct 2021,Paperback,US$12.67,US$12.99
709,Hayao Miyazaki,Jessica Niebel,07 Sep 2021,Hardback,US$55.27,US$55.27
710,My Mouth is a Volcano!,Julia Cook,01 Oct 2005,Paperback,US$10.27,US$10.27
711,The Long Field,Pamela Petro,14 Sep 2021,Hardback,US$25.41,US$30.00
712,Embroidering the Everyday,Cas Holmes,07 Sep 2021,Hardback,US$32.50,US$34.99
713,Getting to Yes,Roger Fisher,07 Jun 2012,Paperback,US$17.05,US$19.75
714,Between Two Hells,Diarmaid Ferriter,04 May 2022,Hardback,US$39.13,US$39.13
715,Stillness is the Key,Ryan Holiday,08 Oct 2020,Paperback,US$16.90,US$16.90
716,Weaving,Ann Richards,27 Sep 2021,Hardback,US$30.74,US$34.35
717,The Winter of the Witch,Katherine Arden,03 Oct 2019,Paperback,US$16.96,US$16.96
718,The Wellbeing Journal,Mind,01 May 2018,Paperback,US$13.36,US$13.36
719,Becoming Supernatural,Dr Joe Dispenza,03 May 2019,Paperback,US$22.84,US$22.84
720,Witch Hat Atelier 8,Kamome Shirahama,28 Sep 2021,Paperback,US$13.04,US$13.04
721,A Touch of Malice,Scarlett St. Clair,27 Sep 2021,Paperback,US$18.68,US$18.68
722,Can't Hurt Me,David Goggins,10 Mar 2020,Paperback,US$26.47,US$26.47
723,Seven to Eternity Volume 4: The Springs of Zhal,Rick Remender,14 Sep 2021,Paperback,US$17.53,US$17.53
724,"Gideon Falls Deluxe Edition, Book One",Jeff Lemire,28 Sep 2021,Hardback,US$46.32,US$49.99
725,"Monstress, Volume 6: The Vow",Marjorie Liu,21 Sep 2021,Paperback,US$17.20,US$17.20
726,Kingdom of the Cursed,Kerri Maniscalco,05 Oct 2021,Hardback,US$20.47,US$20.59
727,A Court of Thorns and Roses Box Set,Sarah J. Maas,05 Jan 2021,Paperback,US$72.29,US$72.29
728,Bad Blood,John Carreyrou,11 Jul 2019,Paperback,US$23.08,US$23.08
729,American Marxism,Mark R. Levin,13 Jul 2021,Hardback,US$24.44,US$28.00
730,Sophie's World,Jostein Gaarder,08 Oct 2015,Paperback,US$10.76,US$12.35
731,Neuromancer,William Gibson,08 Dec 2016,Paperback,US$13.73,US$13.73
732,The Conscious Parent,Dr Shefali Tsabary,15 Jan 2015,Paperback,US$17.21,US$23.34
733,The Mindful Self-Compassion Workbook,Kristin Neff,21 Dec 2018,Paperback,US$19.85,US$19.95
734,Unofficial Harry Potter Cookbook,Dinah Bucholz,18 Sep 2010,Hardback,US$21.26,US$21.26
735,Little Kids First Big Book of Why,Amy Shields,09 Jun 2011,Hardback,US$18.48,US$18.48
736,The Scarecrows' Wedding,Julia Donaldson,07 Jul 2016,Paperback,US$16.27,US$16.27
737,The Highway Rat,Julia Donaldson,01 Dec 2020,Paperback,US$10.01,US$10.01
738,Letting Go,David R. Hawkins,03 Mar 2014,Paperback,US$17.86,US$18.99
739,The Writing Revolution,Judith C. Hochman,29 Sep 2017,Paperback,US$26.31,US$32.95
740,The Bitcoin Standard,Saifedean Ammous,08 Jun 2018,Hardback,US$23.21,US$29.95
741,Girl in Pieces,Kathleen Glasgow,18 Sep 2018,Paperback,US$12.28,US$12.28
742,It Didn't Start with You,Mark Wolynn,27 Apr 2017,Paperback,US$15.31,US$18.00
743,Coaching Habit,Bungay Michael Stainer,17 Mar 2016,Paperback,US$16.62,US$16.62
744,A Brief History Of Time,Stephen Hawking,20 Jan 2015,Paperback,US$16.60,US$20.25
745,Awaken The Giant Within,Tony Robbins,02 Jan 2001,Paperback,US$14.97,US$18.25
746,The Boy Who Made Everyone Laugh,Helen Rutter,04 Feb 2021,Paperback,US$10.60,US$10.60
747,David Attenborough: Volume 34,Maria Isabel Sanchez Vegara,04 Feb 2020,Hardback,US$18.10,US$18.10
748,1177 B.C.,Eric H. Cline,02 Mar 2021,Paperback,US$17.01,US$17.01
749,Once Upon a Chef: Weeknight/Weekend,Jennifer Segal,14 Sep 2021,Hardback,US$35.20,US$35.20
750,1177 B.C.,Eric H. Cline,02 Mar 2021,Paperback,US$17.01,US$17.01
751,Once Upon a Chef: Weeknight/Weekend,Jennifer Segal,14 Sep 2021,Hardback,US$35.20,US$35.20
752,The Name of the Wind,Patrick Rothfuss,30 Jun 2008,Paperback,US$14.21,US$14.22
753,Milkman,Anna Burns,01 Nov 2018,Paperback,US$12.02,US$12.35
754,Teach Yourself to Sleep,Kate Mikhail,10 Jun 2021,Paperback,US$23.09,US$23.09
755,The Menopause Manifesto,Dr. Jennifer Gunter,25 May 2021,Paperback,US$23.06,US$23.06
756,"Take a Hint, Dani Brown",Talia Hibbert,23 Jun 2020,Paperback,US$15.65,US$15.65
757,On the Night You Were Born,Nancy Tillman,01 Dec 2014,Board book,US$8.31,US$8.31
758,Interaction of Color,Josef Albers,01 Nov 2020,Paperback,US$20.05,US$20.05
759,Agent Sonya,Ben Macintyre,27 May 2021,Paperback,US$15.91,US$15.91
760,A Clockwork Orange,Anthony Burgess,16 Jun 2011,Paperback,US$9.63,US$18.25
761,The Artist's Way,Julia Cameron,08 Nov 2016,Paperback,US$18.48,US$18.48
762,Twelve Angry Men,Reginald Rose,14 Jul 2011,Paperback,US$11.10,US$14.00
763,Fish in a Tree,Lynda Mullaly Hunt,09 May 2017,Paperback,US$8.11,US$8.99
764,Percy Jackson and the Last Olympian (Book 5),Rick Riordan,04 Jul 2013,Paperback,US$15.12,US$15.12
765,The Picture of Dorian Gray,Oscar Wilde,28 Jun 2012,Paperback,US$9.52,US$9.52
766,The Myth of Sisyphus,Albert Camus,01 Oct 2005,Paperback,US$7.70,US$11.00
767,Of Mice and Men,Mr John Steinbeck,01 Mar 2007,Paperback,US$11.94,US$11.94
768,Loveless,Alice Oseman,20 Jul 2020,Paperback,US$13.42,US$13.42
769,Radio Silence,Alice Oseman,03 Mar 2016,Paperback,US$16.21,US$16.21
770,The Butterfly Lion,Michael Morpurgo,01 Mar 2012,Paperback,US$9.03,US$9.03
771,Gild,Raven Kennedy,01 Oct 2020,Paperback,US$18.57,US$18.99
772,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,23 Dec 2021,Paperback,US$11.49,US$11.49
773,The Land of Stories: The Wishing Spell,Chris Colfer,06 Jun 2013,Paperback,US$14.14,US$14.14
774,Waiting for Baby,,01 Feb 2010,Board book,US$7.68,US$7.68
775,The Art of Luca,,01 Jul 2021,Hardback,US$43.73,US$43.73
776,Liz Climo 2022 Daily Calendar,Liz Climo,19 Aug 2021,Calendar,US$16.69,US$16.69
777,Cook As You Are,Ruby Tandoh,07 Oct 2021,Paperback,US$25.88,US$27.46
778,What I Love About You,Studio Press,01 Jun 2019,Hardback,US$15.75,US$16.95
779,Snow Country,Sebastian Faulks,02 Sep 2021,Paperback,US$18.96,US$19.22
780,When We Cease to Understand the World,Benjamin Labatut,06 May 2021,Paperback,US$11.84,US$12.35
781,Maths Games for Clever Kids (R),Gareth Moore,08 Mar 2018,Paperback,US$5.74,US$6.86
782,Vinland Saga 12,Makoto Yukimura,26 Oct 2021,Hardback,US$20.58,US$22.99
783,Crystals for Beginners,Karen Frazier,17 Oct 2017,Paperback,US$15.98,US$15.98
784,Thinking in Systems,Donella Meadows,03 Dec 2008,Paperback,US$16.03,US$19.95
785,Growing Gourmet and Medicinal Mushrooms,Paul Stamets,08 Jul 2016,Paperback,US$47.59,US$47.59
786,Dune,Frank Herbert,03 Sep 2021,Paperback,US$15.66,US$15.66
787,On Earth We're Briefly Gorgeous,Ocean Vuong,17 Sep 2020,Paperback,US$16.02,US$16.02
788,The Children of Jocasta,Natalie Haynes,01 Jun 2021,Paperback,US$15.76,US$15.76
789,The Shadow Sister,Lucinda Riley,11 Jul 2019,Paperback,US$16.04,US$16.04
790,Defy the Night,Brigid Kemmerer,14 Sep 2021,Paperback,US$11.72,US$11.72
791,The Snail and the Whale,Julia Donaldson,06 Apr 2017,Board book,US$14.27,US$14.27
792,My Own Words,Ruth Bader Ginsburg,16 Oct 2018,Paperback,US$16.26,US$18.00
793,Relentless,Tim S. Grover,13 Mar 2014,Paperback,US$13.46,US$17.00
794,The Madness of Crowds,Douglas Murray,10 Sep 2020,Paperback,US$15.73,US$15.73
795,Redemptor,Hot Key Books,17 Aug 2021,Paperback,US$10.78,US$12.35
796,American Psycho,Bret Easton Ellis,08 Jan 2015,Paperback,US$10.93,US$12.35
797,Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,27 May 2021,Paperback,US$9.73,US$10.98
798,The Famous Five Collection 1,Enid Blyton,06 Sep 2012,Paperback,US$17.20,US$17.50
799,"Death Note Black Edition, Vol. 2",Tsugumi Ohba,13 Apr 2011,Paperback,US$29.98,US$29.98
800,The Maidens,Alex Michaelides,10 Jun 2021,Hardback,US$17.50,US$20.59
801,Coraline,Neil Gaiman,10 Oct 2013,Paperback,US$9.55,US$9.60
802,Tiddler,Julia Donaldson,18 Jan 2017,Paperback,US$11.86,US$11.86
803,Medical Medium,Anthony William,23 Mar 2021,Hardback,US$40.35,US$40.35
804,Extreme Ownership,Jocko Willink,06 Dec 2017,Hardback,US$21.09,US$27.99
805,Inspired,Marty Cagan,30 Jan 2018,Hardback,US$23.60,US$30.00
806,Toe by Toe,Keda Cowling,01 Dec 1993,Paperback,US$47.10,US$47.10
807,Lonely Castle in the Mirror,Mizuki Tsujimura,22 Apr 2021,Paperback,US$20.94,US$20.94
808,Meditations,Marcus Aurelius,10 Feb 2020,Hardback,US$11.12,US$12.99
809,A Little Hatred,Joe Abercrombie,14 May 2020,Paperback,US$12.05,US$12.35
810,Nina Simone's Gum,Warren Ellis,19 Oct 2021,Hardback,US$26.72,US$27.95
811,Outline,Rachel Cusk,20 Jun 2018,Paperback,US$14.55,US$14.55
812,On All Fronts,Clarissa Ward,09 Sep 2021,Paperback,US$16.84,US$18.00
813,Spelling for Life,Lyn Stone,31 Aug 2021,Paperback,US$32.28,US$32.28
814,"Act Your Age, Eve Brown",Talia Hibbert,09 Mar 2021,Paperback,US$15.99,US$15.99
815,Circe,Madeline Miller,15 Jan 2020,Paperback,US$12.71,US$13.72
816,The Compound Effect,Darren Hardy,15 Sep 2020,Hardback,US$17.80,US$19.99
817,"Mastering the Art of French Cooking, Vol.1",Julia Child,24 Nov 2011,Paperback,US$21.09,US$29.00
818,"Index, A History of the",Dennis Duncan,02 Sep 2021,Hardback,US$26.82,US$27.48
819,East,Meera Sodha,22 Aug 2019,Hardback,US$32.38,US$32.38
820,Peepo! (Board Book),Allan Ahlberg,21 Jun 2011,Board book,US$9.93,US$13.75
821,XOXO,Axie Oh,05 Aug 2021,Hardback,US$17.40,US$17.99
822,The Upside of Falling,Alex Light,15 Apr 2021,Paperback,US$10.49,US$10.99
823,Crier's War,Nina Varela,17 Sep 2020,Paperback,US$11.09,US$11.09
824,The Complete TurtleTrader,Michael W Covel,31 Aug 2011,Paperback,US$13.82,US$17.99
825,Say Nothing,Patrick Radden Keefe,11 Oct 2019,Paperback,US$15.92,US$15.92
826,The Mirror and the Light,Hilary Mantel,29 Apr 2021,Paperback,US$17.12,US$17.12
827,Moleskine 2022 12-Month Weekly Pocket Hardcover Notebook: Ice Green,Moleskine,10 Jun 2021,Hardback,US$14.57,US$23.34
828,From One Mom to a Mother,Jessica Urlichs,30 Jul 2020,Paperback,US$11.88,US$13.50
829,Ley de lobos,Leigh Bardugo,29 Nov 2021,Hardback,US$20.99,US$23.45
830,Peril,Bob Woodward,21 Sep 2021,Hardback,US$29.41,US$30.00
831,Where Tomorrows Aren't Promised,Carmelo Anthony,14 Sep 2021,Hardback,US$24.10,US$28.00
832,"Blood On The Tracks, Volume 1",Shuzo Oshimi,27 Feb 2020,Paperback,US$12.62,US$12.95
833,Seasons of the Witch: Yule Oracle,Lorriane Anderson,16 Sep 2021,Cards,US$20.87,US$21.95
834,Little Bont and the Big Secret,Marcus Bontempelli,26 Oct 2021,Hardback,US$13.40,US$14.53
835,The Good Life,Hannah Moloney,31 Aug 2021,Paperback,US$49.38,US$49.38
836,The Art of Loving,Erich Fromm,10 Jul 1995,Paperback,US$6.07,US$12.64
837,The Dispossessed,Ursula K. Le Guin,12 Aug 1999,Paperback,US$19.31,US$19.31
838,Four Thousand Weeks,Oliver Burkeman,26 Aug 2021,Hardback,US$21.91,US$23.34
839,The Gift,Edith Eger,03 Sep 2020,Hardback,US$17.93,US$20.59
840,Know Your Rights,Angelina Jolie,02 Sep 2021,Paperback,US$9.87,US$10.98
841,Marvel: Storybook Collection Advent Calendar,Autumn Publishing,04 Oct 2021,Paperback,US$31.49,US$31.49
842,Bunny,Mona Awad,06 Feb 2020,Paperback,US$16.74,US$16.74
843,The Artist's Way,Julia Cameron,05 Nov 2020,Paperback,US$24.06,US$24.06
844,Gallant,V.E. Schwab,01 Mar 2022,Hardback,US$22.12,US$24.71
845,The Laws of Human Nature,Robert Greene,24 Oct 2018,Paperback,US$22.11,US$24.71
846,The Flip Out: Sam Kerr: Kicking Goals #1,Sam Kerr,15 Sep 2021,Paperback,US$25.11,US$25.11
847,Un-cook Yourself,Nat's What I Reckon,15 Dec 2020,Paperback,US$35.09,US$35.09
